,decision,created_at,id,id_str,full_text,source,retweet_count,favorite_count,reply,username_length,user_location
0,enabling context,2021-01-30 02:40:25+00:00,1355345090022154241,1355345090022154241,"@science_barbie @priyology Cyanobacteria (also called blue-green algae) are microorganisms that can produce HABs (harmful algal blooms) - some of which produce toxins. When released downstream to the ocean, cause red tide, and exacerbate coral bleaching.",Twitter Web App,0,0,TRUE,8,Unknown
1,enabling context,2021-01-30 01:05:16+00:00,1355321147701686273,1355321147701686273,New insights into coral bleaching by international collaboration incl @UWAresearch(ers) Jeremy Bougoure &amp; Paul Guagliardo @CMCA_UWA nano-SIMS. Heat stress disrupts symbiotic nutrient cycling well before breakdown of the coral-algal symbiosis. @uwaoceans  https://t.co/linu3NudFW,Twitter Web App,1,1,FALSE,10,Unknown
2,buzz,2021-01-29 22:49:17+00:00,1355286925809094659,1355286925809094659,"Friday Tally:

2 dives, continued coral bleaching documentation 

Lab time next 

More dives tomorrow.

Feels good to be productive after being grounded due to weather",Twitter for iPhone,0,1,FALSE,11,Unknown
3,desirability,2021-01-29 22:09:20+00:00,1355276872410681348,1355276872410681348,"Coral bleaching is so sad because they just be there vibing doing what they’re supposed to do, then die due to forces beyond their control. Rip to the real ones 🕊",Twitter for iPhone,0,2,FALSE,8,Unknown
4,desirability,2021-01-29 21:34:44+00:00,1355268165148815360,1355268165148815360,"predicts that at the current rate of emissions, there is likely to be an increase in the mean global temperature of 1-4 degrees C by 2100. Ocean warming also leads to less available oxygen and acidification all of which adversely affects marine life &amp; marine ecosystems. Attention",Twitter Web App,0,0,TRUE,13,Canada
5,desirability,2021-01-29 21:34:44+00:00,1355268161939992576,1355268161939992576,"warming of the ocean affects marine species &amp; ecosystems, cause coral bleaching &amp; the loss of breeding grounds for species. The warming oceans also causes more extreme weather events, coastal flooding &amp; food insecurity. The IPCC has reported that the oceans have absorbed more",Twitter Web App,0,1,TRUE,13,Canada
6,enabling context,2021-01-29 21:20:11+00:00,1355264500925145093,1355264500925145093,Happening now: Coral Bleaching,"Cheap Bots, Done Quick!",0,0,FALSE,7,Unknown
7,invitation,2021-01-29 19:57:30+00:00,1355243694669004800,1355243694669004800,I'm going to Coralpalooza™ - the world's biggest coral restoration event happening on World Ocean's day June 5. Join this large-scale collaborative action to save our coral reefs. https://t.co/0JIiA5qHVx #Coralpalooza #coralrestoration @WorldOceansDay #environment #globalwarming,Twitter Web App,0,0,FALSE,12,United States
8,invitation,2021-01-29 18:42:48+00:00,1355224896582934533,1355224896582934533,"Saturday, January 30th 2021 9 AM Guest Lecture by Dr. Franziska Elmer. 
Stony Coral Tissue Loss Disease and coral bleaching presentation
Zoom link for Saturday Jan 30th - https://t.co/T6JhuRfe0T https://t.co/btzS5uWhBX",Buffer,0,0,FALSE,11,United States
9,enabling context,2021-01-29 16:23:02+00:00,1355189722692243456,1355189722692243456,"Hawaii’s ban on #sunscreen that contains #oxybenzone and octinoxate went into effect on Jan. 1. Oxybenzone and octinoxate are chemical UV filters that can cause #coral bleaching. Sunscreens with mineral UV filters (zinc oxide and titanium dioxide) are safer to use.

#i4es
#hawaii https://t.co/QWL5rXuIiN",Twitter for iPhone,0,1,FALSE,12,United States
10,enabling context,2021-01-29 14:15:05+00:00,1355157521464487945,1355157521464487945,Research reveals genetic response of ocean warming and acidification in American lobster https://t.co/nVdBTml0bk,WordPress.com,0,1,FALSE,13,Monaco
11,buzz,2021-01-29 14:12:06+00:00,1355156770155614216,1355156770155614216,🐡 We're going on a special dive today with the Coral Restoration Foundation to learn how to conduct reef maintenance by transplanting corals from their nursery to out on the reefs.,Hootsuite Inc.,0,0,FALSE,14,Unknown
